max_demand_kW,reactive_usage_kWh_kVarh_inductive,reactive_usage_kWh_kVarh_capacitive,CO2_tCO2,usage_kWh_factor_inductive,usage_kWh_factor_capacitive,usage_kWh
0.7431571084657013,1.08600844095226,0.0,0.0,-0.43894622127442723,0.0,0.6530199994700233
0.648770920257302,0.9933478982919156,0.0,0.0,-0.5597214834100745,0.0,0.5425685866482084
0.626814598802017,0.9759255559012402,0.0,0.0,-0.5992858810751952,0.0,0.5171411181833158
0.585831705071009,0.9494414031772062,0.0,0.0,-0.6897855024958568,0.0,0.4699590177057693
0.5764545658270299,0.9494414031772062,0.0,0.0,-0.7277750263155339,0.0,0.45921567396740137
0.5669746613674146,0.9494414031772062,0.0,0.0,-0.7670248729442105,0.0,0.4483746621285394
0.5525571172147266,0.9134531726502763,0.0,0.0,-0.7266872919383244,0.0,0.431926082873442
0.4497618234881787,0.7710247018373445,0.0,0.0,-0.7484680198783144,0.0,0.3160580126704355
0.38165852739047307,0.7104143240316428,0.0,0.0,-0.8593066954864234,0.0,0.24071697730553646
0.20544354712090407,0.6041583614891017,0.0,0.0,-1.3395952174378218,0.0,0.05147871898717242
0.011511775886921038,0.355844160300096,0.0,0.0,-1.4134660983974412,0.0,-0.14635358099778595
-0.7305342066041933,-0.4937076676413079,0.0,0.0,-1.466620080257074,0.0,-0.7827212891721891
-0.7305342066041933,-0.4937076676413079,0.0,0.0,-1.466620080257074,0.0,-0.7827212891721891
-0.7971080179965484,-0.5815362764737605,0.0,0.0,-1.2779349421277122,0.0,-0.8294921107736665
-1.1653245655068738,-0.9320901993824413,0.0,0.0,-0.5650574566866101,0.0,-1.0564895200671789
-1.0974440580587603,-0.9320901993824413,0.0,0.0,-0.13605771930536958,0.0,-1.0186290992444604
-1.1307186459150425,-0.9044190271461467,0.0,0.0,-0.6444172952789291,0.0,-1.0374090635810242
-1.0974440580587603,-0.9044190271461467,0.0,0.0,-0.420029709164757,0.0,-1.0186290992444604
-1.1307186459150425,-0.9320901993824413,0.0,0.0,-0.33125662729709143,0.0,-1.0374090635810242
-1.0654021496051216,-0.9044190271461467,0.0,0.0,-0.2289980745450307,0.0,-1.00014030890259
-1.1307186459150425,-0.9044190271461467,0.0,0.0,-0.6444172952789291,0.0,-1.0374090635810242
-1.1307186459150425,-0.9320901993824413,0.0,0.0,-0.33125662729709143,0.0,-1.0374090635810242
-1.2013728074410635,-0.9602344059538922,0.0,0.0,-0.47267809648475617,0.0,-1.075880241441084
-1.0974440580587603,-0.9320901993824413,0.0,0.0,-0.13605771930536958,0.0,-1.0186290992444604
